id,neo4j_id
TMEM56,604423
ATG4C,604424
TOMM40,604425
ALG14,604426
CYP4A11,604429
SLC22A24,604431
SRD5A2,604432
SLC22A8,604433
SLC22A6,604434
GSTA5,604438
GSTA1,604439
MGAM,604441
SGCD,604442
RAB3GAP1,604443
SI,604444
ID4,604445
EPHA5,604446
LCT,604447
FOXO3,604448
MCM6,604449
SLC5A10,604450
MCC,604451
C22orf24,604452
YWHAH,604453
FAM83G,604454
SLC5A1,604455
IL6R,604456
GRAP,604457
TSSK1B,604458
YTHDC2,604459
PRR25,604460
NCAM2,604461
EFNA1,604462
SLC50A1,604463
DPM3,604464
GNG13,604465
ATP8B2,604466
WWOX,604467
PIK3R1,604468
CD177,604469
AQP10,604470
TAS2R38,604471
TEX101,604472
EFNA3,604473
ZNF789,604475
ATP5J2-PTCD1,604476
ATP5J2,604477
ZNF394,604478
ZKSCAN5,604479
CYP2A6,604481
CYP2A7,604482
EGLN2,604483
HSD3B1,604485
HLA-DRA,604486
C6orf15,604487
PSORS1C1,604488
BTNL2,604489
HSD3B2,604490
FBXO15,604491
CDSN,604492
IER3,604493
FLOT1,604494
C6orf10,604495
NEU1,604496
SLC1A4,604498
PPM1K,604499
HERC6,604500
CEP68,604501
NAT8,604503
NAT8B,604504
HAO2,604506
D2HGDH,604508
GAL3ST2,604509
ING5,604510
NEU4,604511
SLCO1B1,604514
CPN1,604515
MTX2,604516
CMIP,604517
FGF9,604518
AXDND1,604519
SULT2A1,604520
SLC17A1,604521
GSTA2,604522
DNMBP,604523
CYP4B1,604524
CRX,604525
SLC17A4,604526
SLC17A3,604527
TPRX1,604528
FLRT2,604529
CDC14A,604531
COX16,604532
ABCC1,604533
DPF3,604534
ZKSCAN2,604535
DNER,604536
OPRK1,604537
RPTOR,604538
TNS1,604539
UGCG,604540
GSDMC,604541
MREG,604542
CSNK1A1L,604543
SFRP1,604544
ZNF217,604545
VPREB1,604546
PIP4K2A,604547
NTNG1,604548
DCAF8L1,604549
TUSC3,604550
PDGFC,604551
LPPR1,604552
PHACTR3,604553
DLGAP2,604554
GREM2,604555
ST6GALNAC5,604556
USH2A,604557
FRMD1,604558
PLEK,604559
NETO1,604560
FGF12,604561
FAM98A,604562
XPNPEP1,604563
COMMD1,604564
ALCAM,604565
AUTS2,604566
PDE4D,604567
PABPC4L,604568
CNTNAP5,604569
UQCRFS1,604570
TLR7,604571
MBD3L1,604572
EYS,604573
DRD5,604574
TYW5,604575
C2orf47,604576
SLC2A9,604577
SCRT2,604578
NLRP3,604579
SRXN1,604580
OR2B11,604581
CABLES2,604582
F5,604583
FBXO39,604584
SELP,604585
XAF1,604586
TLR8,604587
CCT4,604588
DACT2,604589
RPS21,604590
MUC16,604591
CDC20,604592
ELOVL1,604593
CNRIP1,604594
LAMA5,604595
ZNF558,604596
GPR88,604597
MPL,604598
TCF15,604599
SZT2,604600
MED8,604601
OR2W5,604602
SLC13A5,604603
GATA5,604604
SELL,604605
TEKT1,604606
SYNJ2BP,604607
SYNJ2BP-COX16,604608
AGXT2,604610
PRLR,604611
GSTT2B,604614
GSTT2,604615
MIF,604616
DDTL,604617
DDT,604618
ITM2A,604620
MAPK4,604621
SOX7,604622
TRIM36,604623
SPEF2,604624
RBFOX3,604625
DDX53,604626
FMO4,604627
REPS2,604628
HDAC4,604629
ASB9,604630
STX18,604631
C8orf37,604632
BHLHE40,604633
ACAP2,604634
ST3GAL1,604635
GOT2,604636
CNTNAP4,604637
MAGEE1,604638
ZBTB10,604639
MOSPD1,604640
PLCB4,604641
PLK2,604642
HOOK1,604643
VCX,604644
STK10,604645
PTCHD1,604646
ASB2,604647
FAM19A4,604648
SETBP1,604649
RREB1,604650
NPAS2,604651
OSR1,604652
ANO5,604653
CDH13,604654
PHF8,604655
PCDH7,604656
FANCF,604657
PMP22,604658
ZNF645,604659
PMFBP1,604660
MPDZ,604661
PNPT1,604662
PDE6B,604663
DOCK1,604664
KCNJ3,604665
LMCD1,604666
RGAG4,604667
TMC3,604668
ISOC1,604669
NRXN1,604670
MAF,604671
NUP35,604672
CTSC,604673
IGF1R,604674
ENC1,604675
CLEC19A,604676
GABRG2,604677
NDP,604678
SEMA5A,604679
ZCCHC5,604680
CAMK1D,604681
RELL1,604682
OXTR,604683
KLF8,604684
SYNPR,604685
SLC35B3,604686
YWHAQ,604687
USP25,604688
NOMO3,604689
KIAA1210,604690
CAPN13,604691
LRRTM1,604692
DNAJC1,604693
USP34,604694
MYRIP,604695
SLC39A10,604696
TMEM150C,604697
PRKX,604698
KIAA1217,604699
TG,604700
ARHGAP15,604701
FLJ44635,604702
MYO16,604703
PTCHD4,604704
CLSTN2,604705
FAM133A,604706
SOS2,604707
FGF18,604708
ITGA4,604709
ZNF285,604710
EFCAB9,604711
NAP1L3,604712
PABPC5,604713
COMMD9,604714
CYSLTR1,604715
HECW1,604716
PTPRD,604717
NOS1,604718
MEMO1,604719
ASIC2,604720
FGF16,604721
PID1,604722
RNF103,604723
DPY30,604724
SPRY1,604725
PRR5L,604726
DMTF1,604727
PRMT3,604728
ADAM17,604729
FKBP1A,604730
DYTN,604731
MCFD2,604732
DSCR3,604733
TTC7A,604734
ARL6IP6,604735
FUNDC1,604736
FOXF1,604737
TMEM17,604738
TBC1D8B,604739
FAM181A,604740
MIPEP,604741
MPP6,604742
TRIML2,604743
CEP192,604744
C1QTNF9B-AS1,604745
PRPF40A,604746
ST8SIA2,604747
SEL1L,604748
CPNE4,604749
TNK2,604750
NFATC1,604751
NEK6,604752
RNASET2,604753
CACNA2D3,604754
EHBP1,604755
ARL13A,604756
GFRA1,604757
ADAMTS3,604758
SFMBT2,604759
HTR7,604760
TAF1,604761
RUNX2,604762
LAMA1,604763
DNAJB6,604764
ZXDA,604765
CNTN6,604766
HS6ST1,604767
CELF4,604768
PCDH20,604769
DERA,604770
KCNJ2,604771
SLC6A5,604772
LBH,604773
EPHA3,604774
PLXDC2,604775
KIAA1024,604776
OR4B1,604777
SLC16A9,604778
MUM1L1,604779
VTI1A,604780
ANXA2,604781
ZDHHC6,604782
C6orf58,604783
FBP2,604784
PTBP2,604785
C1QTNF9B,604786
MED30,604787
FOXO1,604788
SLC26A4,604789
CDK19,604790
LRRC30,604791
EGLN3,604792
COL13A1,604793
GTDC1,604794
BEND2,604795
XKRX,604796
UBE2E2,604797
CHD7,604798
PVRL1,604799
HERC2,604800
ZNF337,604801
OLFM4,604802
PPIA,604803
ZNF229,604804
SNX25,604805
SPAST,604806
NSFL1C,604807
JRK,604808
PSCA,604809
LPAR4,604810
SMARCA1,604811
OTUB2,604812
CRAT,604813
CACNA2D1,604814
AGBL1,604815
GRIN2A,604816
PPP2R4,604817
P2RY10,604818
SLC9A6,604819
TMPRSS15,604820
BCL2,604821
RPS6KA2,604822
CROT,604823
PINX1,604824
MUC4,604825
CHMP3,604826
ZNF37A,604827
ACVR2A,604828
EFNA5,604829
OR52R1,604830
SORCS1,604831
LRP2BP,604832
TP53TG3,604833
MB21D1,604834
TRIML1,604835
CEACAM3,604836
LY6K,604837
H2AFV,604838
FBP1,604839
GPR174,604840
SPIN4,604841
OR51F2,604842
KCTD6,604843
PRRC2C,604844
SOGA3,604845
PWWP2B,604846
MDH1B,604847
FASTKD2,604848
MTO1,604849
KDSR,604850
SLC22A16,604851
DDX43,604852
DEFB108B,604853
ADRM1,604854
ASB11,604855
ALPK3,604856
ITPR1,604857
PDHB,604858
ASB1,604859
FAM86C1,604860
OR51F1,604861
EFEMP1,604862
ANKRD37,604863
TFRC,604864
FAM127C,604865
DOLPP1,604866
MMGT1,604867
C10orf91,604868
CSNK1D,604869
RPP30,604870
CCDC172,604871
ZMIZ2,604872
NPM1,604873
ATF7IP2,604874
KRT20,604875
DYRK1A,604876
ARL13B,604877
OR5B17,604878
IER5L,604879
PIN4,604880
ATP5I,604881
RPL31,604882
KRT12,604883
OR51S1,604884
LYPD4,604885
CEACAM6,604886
PHF12,604887
DHRS13,604888
OR10W1,604889
AMD1,604890
DMRTC2,604891
SLC16A6,604892
BTBD6,604893
PCDH9,604894
GPAM,604896
OXCT1,604897
PPP1R3B,604898
BCL7A,604899
PRSS55,604900
GALNT2,604901
SERPINA1,604902
FBXO4,604903
MARC1,604904
HNF1A,604905
NXPH2,604906
DHX38,604907
TXNL4B,604908
NPC1L1,604909
CTDNEP1,604910
C5orf51,604911
ABCA2,604912
ABCG4,604913
ABCA5,604914
CES1,604915
SREBF2,604916
INSIG1,604917
TTC39B,604918
MARC2,604919
TSPO,604920
GPS2,604921
PNPLA2,604922
TSKU,604923
C12orf43,604924
ABHD5,604925
FITM2,604926
PLA2G10,604927
PNPLA4,604928
PNPLA5,604929
PNPLA1,604930
LIMA1,604931
FBXW7,604932
NEIL2,604933
SERPINA6,604934
ABCB4,604935
ABCA3,604936
APOM,604937
LAMTOR1,604938
PNPLA3,604939
ABCA12,604940
TREM2,604941
NUS1,604942
SEC24A,604943
HPR,604944
PPARG,604945
ENPP7,604946
CEBPA,604947
NR1H4,604948
SERPINA12,604949
ABCB11,604950
OSBPL5,604951
PLSCR3,604952
SPPL3,604953
EPHX2,604954
SLC2A4,604955
CYP39A1,604956
LRP5,604957
PRKAA1,604958
PRKAA2,604959
CLN8,604960
CYP7B1,604961
PON1,604962
STARD3,604963
STAR,604964
GNB3,604965
LIPE,604966
GRAMD1B,604967
CAT,604968
EHD1,604969
SREBF1,604970
LPCAT3,604971
ACADVL,604972
YBX2,604973
FABP3,604974
AKR1C1,604975
SURF4,604976
INSIG2,604977
HP,604978
CYP8B1,604979
ARV1,604980
PLCXD3,604981
IRS2,604982
CLDN7,604983
LEP,604984
CERT1,604985
DISP3,604986
MIR19B1,604987
MIR144,604988
MIR34A,604989
MIR185,604990
MIR128-1,604991
MIR302A,604992
MIR548P,604993
MIR148A,604994
MIR182,604995
MIR27B,604996
PIK3CB,604998
PRR23C,604999
TRAF6,605000
PCCA,605001
CCDC6,605002
ELAVL2,605003
OR5AN1,605004
TEX26,605005
NKX2-5,605006
SCHIP1,605007
PLA2G4E,605008
CPPED1,605009
CITED2,605010
THSD7B,605011
ATP13A3,605012
DAGLA,605013
MGAT4C,605014
CHST3,605015
RAG2,605016
NR2E3,605017
CPM,605018
AEBP2,605019
GOLIM4,605020
SORCS3,605021
CTBP2,605022
FRAS1,605023
EMP2,605024
NPAS3,605025
CSNK2A1,605026
HS3ST1,605027
WNT2,605028
NINJ2,605029
KLHL1,605030
SPOCK1,605031
CST5,605032
NPPC,605033
PDHA1,605034
PAPPA,605035
C11orf30,605036
RUNX1,605037
LAMP5,605038
CBLN4,605039
DMRTA1,605040
ZDHHC23,605041
ZNF627,605042
RBFOX1,605043
EDIL3,605044
HS3ST2,605045
NTRK3,605046
TRPM3,605047
SDK2,605048
HSD17B3,605049
NRG1,605050
NR3C2,605051
CBLN2,605052
SPANXN4,605053
SNN,605054
ETAA1,605055
NTN1,605056
LRRC32,605057
CTDP1,605058
SLC18A1,605059
BDH1,605060
TACR3,605061
SKIDA1,605062
COBL,605063
GRAMD1C,605064
TNFAIP2,605065
SPOCK3,605066
C11orf74,605067
UBAP2,605068
EXOC6,605069
TNIK,605070
SCGB1D1,605071
KRTAP19-8,605072
C9orf72,605073
FRK,605074
SMAD7,605075
SCGB2A1,605076
CHP2,605077
LILRB4,605078
MPLKIP,605079
LILRB1,605080
LOC643802,605081
ZIC5,605082
ACP5,605083
TREM1,605084
ERN2,605085
TRPC3,605086
ZIC1,605087
DGCR6,605088
ANO2,605089
TMEFF2,605090
SIX3,605091
SV2C,605092
PDGFD,605093
LRP1B,605094
CDH11,605095
ERICH1,605096
RNF133,605097
CEBPD,605098
ARL4A,605099
ZFPM2,605100
KCTD8,605101
KIAA1456,605102
ELFN1,605103
BMP7,605104
PLA2G4D,605105
TRHDE,605106
MUC20,605107
TREML4,605108
PARVB,605109
HSPB1,605110
FAM135B,605111
MTPAP,605112
RNF148,605113
ZIC4,605114
DTHD1,605115
C6orf99,605116
ARHGAP28,605117
WNK1,605118
IKZF4,605119
MC2R,605120
EMB,605121
EYA4,605122
MCTP1,605123
SHISA9,605124
PRODH,605125
TXNDC11,605126
FAM216B,605127
NOL4,605128
ZNF737,605129
MLLT10,605130
OR5A2,605131
PLXNA4,605132
CHN2,605133
PHTF2,605134
LOC158434,605135
CBLB,605136
PLCB1,605137
ADAMTS20,605138
AHSA2,605139
DUSP14,605140
SUOX,605141
ACTBL2,605142
MITF,605143
TRPM6,605144
NELL1,605145
USP31,605146
FOXK2,605147
PRKCI,605148
MCHR2,605149
IGSF10,605150
TCL1B,605151
IRX2,605152
SCGB1D2,605153
TOP1,605154
HLA-A,605155
PROK2,605156
CXCL13,605157
C5orf38,605158
NDC80,605159
METTL4,605160
DYNC1I1,605161
KCNE4,605162
ZNF445,605163
TBX5,605164
GAS7,605165
GGTLC1,605166
NAPG,605167
EMP1,605168
RPS26,605169
NTRK2,605170
C4orf19,605171
USE1,605172
ATP6V1B2,605173
C7orf33,605174
FRMD6,605175
CARM1,605176
SPO11,605177
ZIC2,605178
LUZP2,605179
ATP6V0D2,605180
GRID1,605181
SEMA6A,605182
RFC5,605183
ETS1,605184
ELOF1,605185
EHD4,605186
RBM45,605187
PRSS22,605188
PIK3R6,605189
GADD45B,605190
P2RY12,605191
OCEL1,605192
FLYWCH2,605193
PDE11A,605194
SKIL,605195
SPCS3,605196
IL17B,605197
YWHAG,605198
AIFM3,605199
ASB5,605200
LILRA1,605201
RAB5B,605202
TMPRSS2,605203
PIK3R5,605204
PLK1,605205
C19orf38,605206
LZTR1,605207
PRR23B,605208
BNIP1,605209
DIS3L2,605210
DAG1,605211
TREML2,605212
KSR2,605213
CDK2,605214
PMEL,605215
C2orf74,605216
ZG16B,605217
TMED1,605218
PSKH2,605219
TECRL,605220
THAP7,605221
CDH9,605222
GCH1,605224
DDC,605225
UNC5D,605226
CST2,605227
RCBTB2,605228
COMT,605229
DENND4C,605230
GPM6A,605231
MC4R,605232
CHRNA2,605233
LSM3,605234
XPC,605235
GCKR,605236
TXNRD2,605237
ZNF276,605238
FIGNL1,605239
TH,605240
CST1,605241
SPATA2L,605242
FNDC4,605243
INS-IGF2,605244
INS,605245
HRK,605246
IFT172,605247
RNFT2,605248
C12orf49,605249
CDK10,605250
IGF2,605251
SLC17A2,605252
ARVCF,605253
CHMP1A,605254
ABCG2,605256
CPS1,605258
GLDC,605259
KDM4C,605260
SLC22A1,605262
ACSM2A,605264
ACSM5,605265
PDILT,605266
ABCC2,605269
CYP3A4,605270
ZDHHC19,605271
ZNF680,605272
S1PR1,605273
BCL2L11,605274
SLC22A11,605275
DMRTA2,605276
CCNE2,605277
SLC22A12,605278
CYP3A7,605279
TP53INP1,605280
NR1I3,605281
VDR,605282
ABCB1,605283
SLC10A1,605284
BAAT,605285
ABCC3,605286
NR1I2,605287
ABCC4,605288
POR,605289
PCYT1A,605290
RHBDD2,605291
SLC51A,605292
SLC51B,605293
AKR1C4,605295
HDHD1,605296
CYB5A,605297
C18orf63,605298
CYP3A5,605299
COX15,605300
CUTC,605301
GH2,605302
CSH1,605303
CSH2,605304
MBD2,605306
TACR1,605307
ADAMTS6,605308
HADH,605309
NRF1,605310
UTP18,605311
NRG3,605312
MBTD1,605313
DTWD1,605314
CMPK2,605315
FAM227B,605316
SIRPB2,605317
GBE1,605318
SIRPD,605319
AGMAT,605321
DNAJC16,605322
CASP9,605323
DDI2,605324
SALL4,605328
SH3D21,605329
BANP,605330
MCPH1,605331
CRIM1,605332
SLC6A1,605333
C6orf118,605334
SYT16,605335
TMEM11,605336
TP53AIP1,605337
FAM205A,605338
MAP2K3,605339
C11orf45,605340
CCL21,605341
KCNJ5,605342
THRAP3,605343
CCL19,605344
ATP9A,605345
ST20-MTHFS,605349
ST20,605350
MTHFS,605351
BCL2A1,605352
PSMA4,605354
CHRNA5,605355
SLC7A9,605356
ODF3B,605358
KLHDC7B,605359
TYMP,605360
OPLAH,605362
EXOSC4,605363
GPAA1,605364
CYC1,605365
SPATC1,605366
TMPRSS11E,605368
UGT2B17,605369
UGT2B15,605370
PKNOX2,605372
EPB41L2,605373
GLI2,605374
HIATL1,605375
ZNF169,605376
CXorf51B,605377
CXorf51A,605378
FMR1,605379
ZCWPW1,605383
MEPCE,605384
PPP1R35,605385
PILRA,605386
C7orf61,605387
ATP1B2,605388
TP53,605389
CPSF4,605390
PTCD1,605391
UGT3A1,605393
CAPSL,605394
TCF21,605396
PTPN4,605397
SLCO1A2,605398
CARNS1,605399
RPS6KB2,605400
PTPRCAP,605401
CORO1B,605402
TBC1D10C,605403
EPB41L5,605404
PPP1CA,605405
GPR152,605406
H3F3C,605408
UCN3,605409
C11orf95,605410
C11orf84,605411
SIK1,605412
MARK2,605413
AMN1,605414
TXNDC16,605416
GPR137C,605417
AOX1,605419
BST1,605421
FAM200B,605422
CD38,605423
FBXL5,605424
NRP2,605426
PRMT6,605427
PTN,605428
RXRG,605429
LURAP1L,605430
PABPC1,605431
DOC2B,605432
SOX5,605433
PITX1,605434
MICB,605435
NFIB,605436
ZNRD1,605437
GPR45,605438
CCRL2,605439
PPP1R11,605440
RNF39,605441
CCR5,605442
TGFBRAP1,605443
YWHAZ,605444
C2orf49,605445
CCR2,605446
MICA,605447
MCCD1,605448
TRIM31,605449
NFKB1,605451
FAM133B,605452
CLU,605453
ZNF365,605454
PRDM6,605455
CDKN2B,605456
ABCA6,605457
FAP,605458
ZBTB38,605459
VEGFA,605460
ANTXR1,605461
FAM19A2,605462
MEPE,605463
MRC2,605464
CYP46A1,605465
VCAN,605466
FST,605467
CTAGE1,605468
PLCE1,605469
LHFPL2,605470
LNX1,605471
ERG,605472
PDGFRA,605473
ANKRD55,605474
THBS2,605475
LDB2,605476
CRISPLD2,605477
NUFIP2,605478
INHBA,605479
COL21A1,605480
TSPAN14,605481
GDF7,605482
CFDP1,605483
SLC22A2,605484
C22orf31,605485
EDAR,605486
CDKN1A,605487
ZAK,605488
ZNF827,605489
VMP1,605490
ADAMTS8,605491
JMJD1C,605492
SMYD2,605493
DAB2IP,605494
FER,605495
LTBP4,605496
KIAA1462,605497
GPR135,605498
FBXO32,605499
PLAU,605500
SH3PXD2A,605501
SLCO4C1,605502
ADRBK2,605503
ZFHX3,605504
LRRC16A,605505
TERT,605506
BIN1,605507
TCF7L2,605508
PSMG1,605509
ADH1C,605510
SEC14L2,605511
SSBP3,605512
EIF3H,605513
ADAMTS10,605514
CD36,605515
TGFB3,605516
IFT43,605517
VAPA,605518
PTRH2,605519
OBFC1,605520
RAB44,605521
UTP23,605522
ACTRT3,605523
IST1,605524
CELSR2,605525
MYNN,605526
ADAMTS15,605527
RHOQ,605528
HS1BP3,605529
ZC2HC1C,605530
HDAC7,605531
HHIPL1,605532
DACT3,605533
ZNF821,605534
JKAMP,605535
PSRC1,605536
KCTD9,605537
CDCA2,605538
DHCR7,605539
IL1F10,605540
C10orf55,605541
ABHD16B,605542
MYO1F,605543
SHKBP1,605544
ATP6V1E2,605545
CHRNA3,605546
PLAUR,605547
GNB1L,605548
C22orf29,605549
FDPS,605550
TM7SF2,605551
PMVK,605552
MVD,605553
CYP27A1,605554
KREMEN1,605555
TMEM170A,605556
MVK,605557
TPD52L2,605558
ACYP1,605559
LSS,605560
HSD17B7,605561
EBP,605562
NSDHL,605563
CYP51A1,605564
DHCR24,605565
MSMO1,605566
HMGCS1,605567
IDI1,605568
LBR,605569
IBSP,605570
ADH1B,605571
SVIL,605572
CLPTM1L,605573
SLC48A1,605574
IL36RN,605575
MLH3,605576
STARD4,605577
PRKD2,605578
OSBPL1A,605579
SORT1,605580
CADM4,605581
SF3A2,605582
PLEKHJ1,605583
GNRH1,605584
IL36B,605585
CFTR,605586
MON1A,605587
MST1R,605588
MYBPHL,605589
CHRNB4,605590
SF3A1,605591
CCDC157,605592
CDKN2A,605593
RBM6,605594
SH2D4B,605595
RAPGEF3,605596
CAMK2G,605597
AMH,605598
RNF215,605599
MRPL37,605600
CYB5RL,605601
GNG8,605602
IL1RN,605603
ZNF428,605604
SLC27A4,605605
ZBTB46,605606
DNAJC5,605607
FAM213A,605608
ABCA7,605609
JSRP1,605610
IFIH1,605611
LRPAP1,605612
FABP2,605613
LRRN4,605614
TAOK1,605615
ATXN1L,605616
SCP2,605617
LRRC34,605618
VDAC1,605619
MGAT1,605620
ACAT2,605621
SRRM5,605622
TMEM247,605623
OSBP,605624
OSBPL2,605625
OSBPL8,605626
OSBPL10,605627
CRYBA1,605628
PTGIR,605629
ADIPOQ,605630
OAZ1,605631
ABCA8,605632
PPIC,605633
CEL,605634
GRAMD1A,605635
OSBPL7,605636
CAMKV,605637
OSBPL11,605638
OSBP2,605639
PNLIP,605640
YJEFN3,605641
OSBPL6,605642
STARD5,605643
VPS52,605644
NFKBIA,605645
EEPD1,605646
CH25H,605647
EGF,605648
ABCA9,605649
STX12,605650
OSBPL3,605651
SYT7,605652
VPS4A,605653
RXRA,605654
OSBPL9,605655
SPG11,605656
VPS4B,605657
TPCN2,605658
SERAC1,605659
ABCA13,605660
VAPB,605661
LRP6,605662
VPS54,605663
TBC1D10A,605664
ARL8B,605665
VPS53,605666
STARD3NL,605667
ZNRF3,605668
TSPO2,605669
ADH7,605670
PTCH1,605671
SHH,605672
LRRIQ4,605673
USP15,605674
ADH1A,605675
MSR1,605676
RELCH,605677
SC5D,605678
NAXE,605679
VPS51,605680
MIR613,605681
MIR17,605682
MIR758,605683
MIR27A,605684
MIR9-1,605685
MIR301B,605686
MIR130B,605687
MIR26A1,605688
MIR145,605689
MIR206,605690
TMEM72,605692
PLCH1,605693
PTP4A1,605694
SLC10A2,605695
CLDN18,605696
RUNX3,605697
USP29,605698
MC5R,605699
FOXN2,605700
THEG5,605701
ZNF236,605702
SCAF11,605703
TMEM106B,605704
C6orf223,605705
FYB,605706
HS6ST3,605707
ARMC4,605708
ELAC2,605709
SEC16B,605710
C1QTNF7,605711
HTR2A,605712
SNTG2,605713
SOX9,605714
DAB2,605715
MYO10,605716
PKIA,605717
MACROD2,605718
FZD3,605719
EPB41L3,605720
FBXO16,605721
SCPEP1,605722
MRGPRE,605723
PSTPIP2,605724
MRGPRG,605725
C18orf42,605726
IZUMO4,605727
MOB3A,605728
COIL,605729
ATP5A1,605730
ZIM3,605731
AGRN,605732
ISG15,605733
HAUS1,605734
FCER2,605735
HES4,605736
TRAPPC5,605737
AKAP1,605738
RETN,605739
CLEC4G,605740
MKNK2,605741
AP3D1,605742
RNF223,605743
RNMT,605744
FAM210A,605745
CTNNB1,605747
BMP4,605748
TGFBR1,605749
NOG,605750
ZEB2,605751
WNT7B,605752
APH1B,605753
KHDC1L,605754
TFAP2B,605755
SLITRK6,605756
KIRREL,605757
METAP1D,605758
C14orf39,605759
COL6A1,605760
TJP2,605761
FLT1,605762
PBX1,605763
CDRT15,605764
RASGRF1,605765
AKAP6,605766
BMP3,605767
EP300,605768
BARHL2,605769
NR1D2,605770
GRIN2B,605771
CD55,605772
KCNA4,605773
ZNF281,605774
FRMPD2,605775
BICC1,605776
NFIA,605777
ACAA2,605778
SLC30A10,605779
ST18,605780
FAM13A,605781
GRIA4,605782
DNAH9,605783
GPD2,605784
PRL,605785
ZMAT4,605786
HIVEP3,605787
TOX,605788
ADAMTSL1,605789
RCBTB1,605790
NRIP1,605791
SLC14A2,605792
KCNMA1,605793
ARID2,605794
VIPR2,605795
PZP,605796
PTPRR,605797
DLG2,605798
DYNLRB2,605799
API5,605800
SNAP91,605801
MEX3B,605802
NTM,605803
ST8SIA1,605804
CRYGN,605805
TRAM1,605806
LRFN5,605807
CYP26A1,605808
DCBLD2,605809
DUT,605810
RNLS,605811
SPRY2,605812
LRRC4C,605813
COL10A1,605814
TMEM161B,605815
TTC8,605816
PCLO,605817
NBEA,605818
DSCAML1,605819
GPC6,605820
MYO1D,605821
TMEM98,605822
RPS6KA3,605823
ANK3,605824
ZKSCAN4,605825
MTBP,605826
GMDS,605827
MRPL13,605828
MTHFD1L,605829
SLC16A1,605830
NTN4,605831
C11orf65,605832
TBX2,605833
CABP5,605834
EIF2S2,605835
SH3YL1,605836
RBX1,605837
ACP1,605838
ISCA2,605839
LIPJ,605840
PTPN5,605841
FXYD2,605842
GNGT2,605843
ABI3,605844
ARMS2,605845
NT5DC1,605846
IGSF22,605847
TBL1X,605848
HTRA1,605849
PRSS56,605850
A2M,605851
CPSF2,605852
RGR,605853
NDUFB1,605854
GNPDA2,605855
ARHGAP32,605856
MAD2L1,605857
EBF1,605858
ANKRD28,605859
LRIT1,605860
C1GALT1,605861
TM6SF2,605862
NKAPL,605863
SIX6,605864
SLC39A8,605865
ELSPBP1,605866
HAPLN4,605867
PHOSPHO1,605868
C17orf82,605869
BSPH1,605870
RD3L,605871
SPAG4,605872
TPRA1,605873
KAZALD1,605874
NCOA2,605875
RDH5,605876
MCM2,605877
CADM2,605878
SETMAR,605879
TMEM86A,605880
GDF11,605881
LOXL1,605882
DRD1,605883
GRM3,605884
TSPAN10,605885
NPLOC4,605886
TDRD9,605887
