id,neo4j_id
FADS1,604225
FADS2,604226
FEN1,604227
LPL,604229
LIPC,604230
CETP,604231
ABCA1,604232
ATP10A,604233
ACO1,604234
TMEM229B,604235
TFDP2,604236
PLEKHH1,604237
GK5,604238
HERPUD1,604239
PPM1G,604240
ZNF513,604241
NRBP1,604242
TBX3,604243
SNX17,604244
EIF2B4,604245
KRTCAP3,604246
LCAT,604247
DGAT1,604248
APOE,604249
APOA2,604250
APOA1,604251
APOA4,604252
LDLR,604253
PLTP,604254
PDIA2,604255
SOAT1,604256
APOC1,604257
SCARB1,604258
MTTP,604259
APOC2,604260
APOC3,604261
LRP1,604262
GTF3C2,604263
HMGCR,604264
SQLE,604265
APOA5,604266
ACSS1,604267
FDFT1,604268
CYP7A1,604269
ABCG8,604270
ABCG5,604271
MIR33B,604272
MIR33A,604273
SLC6A19,604279
CDK12,604280
SLC6A18,604281
MED1,604282
SLC12A7,604283
FBXL20,604284
FADS3,604288
TMC4,604293
MBOAT7,604294
LENG1,604295
TSEN34,604296
RPS9,604297
NAT2,604300
AHR,604301
CYP1A1,604302
CYP1A2,604303
EDC3,604304
CSK,604305
PEMT,604308
ERVFRD-1,604309
ELOVL2,604310
DOCK7,604311
BUD13,604312
UVRAG,604313
RASD1,604314
PKD2L1,604317
BLOC1S2,604318
SCD,604319
MFSD2A,604320
CWF19L1,604321
TRIB1,604322
TRIT1,604334
SLC6A13,604337
SLC6A12,604338
SEC61A2,604339
DHTKD1,604340
UPF2,604341
LIPG,604345
ANGPTL3,604346
PACRGL,604347
PYGB,604348
APOB,604349
BAZ1B,604350
PCSK9,604351
FZD9,604352
GPIHBP1,604353
C19orf80,604354
LIPA,604355
NR1H2,604356
LDLRAP1,604357
FGF21,604358
NR1H3,604359
MYLIP,604360
ABCG1,604361
NPC2,604362
KANK2,604363
NPC1,604364
CIDEC,604365
LMF1,604366
LPA,604367
DOCK6,604368
APOC4,604369
SOAT2,604370
APOBR,604371
FURIN,604372
PCSK6,604373
PCSK5,604374
ANGPTL4,604375
CREB3L3,604376
LMF2,604377
MBTPS2,604378
MBTPS1,604379
APOF,604380
P4HB,604381
CIDEB,604382
SAR1B,604383
DGAT2,604384
ALB,604385
VLDLR,604386
NCEH1,604387
CES3,604388
SIRT1,604389
ENTPD6,604390
LSR,604391
AP2A1,604392
AP2A2,604393
APOH,604394
UBA52,604395
AP2S1,604396
ZDHHC8,604397
CLTC,604398
AP2M1,604399
CAV3,604400
CAV1,604401
CUBN,604402
AMN,604403
CLTA,604404
UBC,604405
AP2B1,604406
HDLBP,604407
UBB,604408
G6PC1,604409
ANGPTL8,604410
MIR30C1,604411
PCDH18,604420
MOGAT2,604421
TMEM56-RWDD3,604422
